Date,u,v
08/01/2018 11:00,-0.162276,-0.272118
08/01/2018 11:30,-0.157967,-0.26457
08/01/2018 12:00,-0.126424,-0.210189
08/01/2018 12:30,-0.065922,-0.10781
08/01/2018 13:00,0.0120853,0.0207418
08/01/2018 13:30,0.121233,0.204696
08/01/2018 14:00,0.17798,0.315591
08/01/2018 14:30,0.158986,0.281034
08/01/2018 15:00,0.198832,0.36414
08/01/2018 15:30,0.194124,0.357289
08/01/2018 16:00,0.203291,0.383502
08/01/2018 16:30,0.163493,0.294729
08/01/2018 17:00,0.190318,0.374845
08/01/2018 17:30,0.176925,0.34222
08/01/2018 18:00,0.17895,0.312272
08/01/2018 18:30,0.191426,0.329809
08/01/2018 19:00,0.0982972,0.19048
08/01/2018 19:30,0.0691806,0.149823
08/01/2018 20:00,0.0586797,0.136799
08/01/2018 20:30,0.0493988,0.12387
08/01/2018 21:00,0.043622,0.0949276
08/01/2018 21:30,0.0550908,0.109005
08/01/2018 22:00,0.0427611,0.0713682
08/01/2018 22:30,0.0413018,0.0572962
08/01/2018 23:00,0.0274002,0.0259573
08/01/2018 23:30,0.0323696,0.0325041
09/01/2018 0:00,0.0221506,0.0179774
09/01/2018 0:30,0.0254513,0.0175176
09/01/2018 1:00,0.0255824,0.00655183
09/01/2018 1:30,2.33E-02,8.42E-03
09/01/2018 2:00,0.0131421,-0.00207893
09/01/2018 2:30,0.0166851,0.00494279
09/01/2018 3:00,0.0107063,2.88E-05
09/01/2018 3:30,0.00656737,-0.00337781
09/01/2018 4:00,0.0106466,0.00212308
09/01/2018 4:30,0.0130353,0.0216432
09/01/2018 5:00,0.0206159,0.0215938
09/01/2018 5:30,-0.0426456,-0.0570663
09/01/2018 6:00,-0.0409492,-0.0595944
09/01/2018 6:30,-0.0847154,-0.135112
09/01/2018 7:00,-0.112534,-0.183262
09/01/2018 7:30,-0.137446,-0.226984
09/01/2018 8:00,-0.155052,-0.258109
09/01/2018 8:30,-0.172758,-0.289488
09/01/2018 9:00,-0.197863,-0.333925
09/01/2018 9:30,-0.18702,-0.315204
09/01/2018 10:00,-0.21228,-0.359421
09/01/2018 10:30,-0.209147,-0.354171
09/01/2018 11:00,-0.2098,-0.355278
09/01/2018 11:30,-0.178286,-0.300008
09/01/2018 12:00,-0.170629,-0.286552
09/01/2018 12:30,-0.115288,-0.191186
09/01/2018 13:00,0.00693691,0.0118065
09/01/2018 13:30,0.0938298,0.154192
09/01/2018 14:00,0.141896,0.242478
09/01/2018 14:30,0.151439,0.263868
09/01/2018 15:00,0.190665,0.340008
09/01/2018 15:30,0.174308,0.310508
09/01/2018 16:00,0.22648,0.422524
09/01/2018 16:30,0.206905,0.383376
09/01/2018 17:00,0.230088,0.45092
09/01/2018 17:30,0.217273,0.423897
